"","driverId","lap_number","lap_time","pitstop","pitstop_lagged"
"301",6,11,94396,FALSE,0
"302",6,12,93199,FALSE,0
"303",6,13,93453,FALSE,0
"304",6,14,93615,FALSE,0
"305",6,15,93802,FALSE,0
"306",6,16,94897,FALSE,0
"307",6,17,108909,TRUE,0
"308",6,18,100864,FALSE,1
"309",6,19,114427,TRUE,0
"310",6,20,99911,FALSE,1
"311",6,21,92187,FALSE,0
"312",6,22,92018,FALSE,0
"313",6,23,92706,FALSE,0
"314",6,24,91732,FALSE,0
"315",6,25,91968,FALSE,0
"316",6,26,91173,FALSE,0
"317",6,27,91160,FALSE,0
"318",6,28,91143,FALSE,0
"319",6,29,90796,FALSE,0
"320",6,30,91672,FALSE,0
"321",6,31,91055,FALSE,0
"322",6,32,91265,FALSE,0
"323",6,33,91508,FALSE,0
"324",6,34,91615,FALSE,0
"325",6,35,91388,FALSE,0
"326",6,36,91459,FALSE,0
"327",6,37,110438,TRUE,0
"328",6,38,99626,FALSE,1
"329",6,39,91056,FALSE,0
"330",6,40,90585,FALSE,0
"331",6,41,90243,FALSE,0
"332",6,42,90403,FALSE,0
"333",6,43,90411,FALSE,0
"334",6,44,90228,FALSE,0
"335",6,45,90132,FALSE,0
"336",6,46,90177,FALSE,0
"337",6,47,90536,FALSE,0
"338",6,48,90548,FALSE,0
"339",6,49,89883,FALSE,0
"340",6,50,90645,FALSE,0
"341",6,51,90293,FALSE,0
"342",6,52,90098,FALSE,0
"343",6,53,90729,FALSE,0
"344",6,54,90554,FALSE,0
"345",6,55,90106,FALSE,0
"346",6,56,90289,FALSE,0
"347",6,57,90848,FALSE,0
"348",6,58,91203,FALSE,0
"349",7,1,105340,FALSE,0
"350",7,2,95808,FALSE,0
"351",7,3,95436,FALSE,0
"352",7,4,95810,FALSE,0
"353",7,5,96837,FALSE,0
"354",7,6,94856,FALSE,0
"355",7,7,94619,FALSE,0
"356",7,8,94624,FALSE,0
"357",7,9,94691,FALSE,0
"358",7,10,94021,FALSE,0
"359",7,11,94097,FALSE,0
"360",7,12,94862,FALSE,0
"361",7,13,94407,FALSE,0
"362",7,14,94135,FALSE,0
"363",7,15,94473,FALSE,0
"364",7,16,114239,TRUE,0
"365",7,17,102954,FALSE,1
"366",7,18,94939,FALSE,0
"367",7,19,94011,FALSE,0
"368",7,20,93614,FALSE,0
"369",7,21,93503,FALSE,0
"370",7,22,94600,FALSE,0
"371",8,1,105896,FALSE,0
"372",8,2,97118,FALSE,0
"373",8,3,95483,FALSE,0
"374",8,4,95648,FALSE,0
"375",8,5,95633,FALSE,0
"376",8,6,95302,FALSE,0
"377",8,7,96681,FALSE,0
"378",8,8,94520,FALSE,0
"379",8,9,94425,FALSE,0
"380",8,10,94491,FALSE,0
"381",8,11,94586,FALSE,0
"382",8,12,94567,FALSE,0
"383",8,13,94847,FALSE,0
"384",8,14,94342,FALSE,0
"385",8,15,95916,FALSE,0
"386",8,16,114819,TRUE,0
"387",8,17,100585,FALSE,1
"388",8,18,92875,FALSE,0
"389",8,19,93091,FALSE,0
"390",8,20,93333,FALSE,0
"391",8,21,94651,FALSE,0
"392",8,22,93850,FALSE,0
"393",8,23,94158,FALSE,0
