"Date","BitcoinTransactions"
"2013-10-17",46870
"2013-10-18",54639
"2013-10-19",49864
"2013-10-20",49418
"2013-10-21",64906
"2013-10-22",54572
"2013-10-23",55314
"2013-10-24",59853
"2013-10-25",49353
"2013-10-26",47747
"2013-10-27",48635
"2013-10-28",51237
"2013-10-29",49930
"2013-10-30",56476
"2013-10-31",48306
"2013-11-01",45371
"2013-11-02",35815
"2013-11-03",42094
"2013-11-04",45523
"2013-11-05",55035
"2013-11-06",58631
"2013-11-07",60535
"2013-11-08",57804
"2013-11-09",57169
"2013-11-10",57538
"2013-11-11",58510
"2013-11-12",63151
"2013-11-13",64870
"2013-11-14",62100
"2013-11-15",51595
"2013-11-16",47175
"2013-11-17",73198
"2013-11-18",93322
"2013-11-19",92907
"2013-11-20",71024
"2013-11-21",76646
"2013-11-22",76947
"2013-11-23",60018
"2013-11-24",71937
"2013-11-25",71793
"2013-11-26",91169
"2013-11-27",102010
"2013-11-28",98921
"2013-11-29",80868
"2013-11-30",67175
"2013-12-01",73442
"2013-12-02",78202
"2013-12-03",79738
"2013-12-04",79624
"2013-12-05",71277
"2013-12-06",75125
"2013-12-07",67712
"2013-12-08",57289
"2013-12-09",67874
"2013-12-10",67623
"2013-12-11",59677
"2013-12-12",59827
"2013-12-13",60059
"2013-12-14",51885
"2013-12-15",63090
"2013-12-16",69382
"2013-12-17",81656
"2013-12-18",68814
"2013-12-19",70278
"2013-12-20",59140
"2013-12-21",51543
"2013-12-22",52897
"2013-12-23",56872
"2013-12-24",57077
"2013-12-25",55428
"2013-12-26",55170
"2013-12-27",47777
"2013-12-28",48009
"2013-12-29",56501
"2013-12-30",52382
"2013-12-31",48847
"2014-01-01",48424
"2014-01-02",63821
"2014-01-03",60980
"2014-01-04",55761
"2014-01-05",67597
"2014-01-06",67358
"2014-01-07",62884
"2014-01-08",58365
"2014-01-09",59031
"2014-01-10",56464
"2014-01-11",49308
"2014-01-12",50537
"2014-01-13",55579
"2014-01-14",60392
"2014-01-15",61612
"2014-01-16",58397
"2014-01-17",53290
"2014-01-18",51573
"2014-01-19",58819
"2014-01-20",71521
"2014-01-21",72577
"2014-01-22",63527
"2014-01-23",67893
"2014-01-24",65600
"2014-01-25",51630
"2014-01-26",60746
"2014-01-27",64374
"2014-01-28",61786
"2014-01-29",60919
"2014-01-30",60799
"2014-01-31",56840
"2014-02-01",50400
"2014-02-02",52483
"2014-02-03",65812
"2014-02-04",67952
"2014-02-05",67529
"2014-02-06",71870
"2014-02-07",64069
"2014-02-08",65009
"2014-02-09",67622
"2014-02-10",62872
"2014-02-11",67229
"2014-02-12",66888
"2014-02-13",76660
"2014-02-14",74889
"2014-02-15",56785
"2014-02-16",57119
"2014-02-17",60853
"2014-02-18",66351
"2014-02-19",71666
"2014-02-20",71144
"2014-02-21",59691
"2014-02-22",58632
"2014-02-23",60198
"2014-02-24",84004
"2014-02-25",71527
"2014-02-26",71897
"2014-02-27",71658
"2014-02-28",63344
"2014-03-01",63402
"2014-03-02",72585
"2014-03-03",85916
"2014-03-04",84600
"2014-03-05",71619
"2014-03-06",69559
"2014-03-07",72345
"2014-03-08",61289
"2014-03-09",66786
"2014-03-10",70884
"2014-03-11",76019
"2014-03-12",75356
"2014-03-13",72805
"2014-03-14",65898
"2014-03-15",58730
"2014-03-16",59332
"2014-03-17",57881
"2014-03-18",67419
"2014-03-19",73804
"2014-03-20",73981
"2014-03-21",69139
"2014-03-22",66673
"2014-03-23",67382
"2014-03-24",72484
"2014-03-25",71883
"2014-03-26",70940
"2014-03-27",69155
"2014-03-28",67079
"2014-03-29",55333
"2014-03-30",63096
"2014-03-31",65448
"2014-04-01",66756
"2014-04-02",67292
"2014-04-03",67075
"2014-04-04",59610
"2014-04-05",47456
"2014-04-06",50010
"2014-04-07",70101
"2014-04-08",64278
"2014-04-09",65153
"2014-04-10",66874
"2014-04-11",51907
"2014-04-12",47740
"2014-04-13",64331
"2014-04-14",74882
"2014-04-15",72809
"2014-04-16",67212
"2014-04-17",56600
"2014-04-18",56996
"2014-04-19",49394
"2014-04-20",57961
"2014-04-21",58110
"2014-04-22",72147
"2014-04-23",67659
"2014-04-24",72694
"2014-04-25",58437
"2014-04-26",50392
"2014-04-27",52629
"2014-04-28",64207
"2014-04-29",63947
"2014-04-30",63657
"2014-05-01",60401
"2014-05-02",56112
"2014-05-03",54157
"2014-05-04",63433
"2014-05-05",76736
"2014-05-06",77228
"2014-05-07",68393
"2014-05-08",67693
"2014-05-09",66293
"2014-05-10",51666
"2014-05-11",70064
"2014-05-12",74418
"2014-05-13",70031
"2014-05-14",72761
"2014-05-15",74893
"2014-05-16",55577
"2014-05-17",50661
"2014-05-18",49912
"2014-05-19",69552
"2014-05-20",71120
"2014-05-21",68905
"2014-05-22",74593
"2014-05-23",58146
"2014-05-24",52872
"2014-05-25",65795
"2014-05-26",67040
"2014-05-27",68524
"2014-05-28",65930
"2014-05-29",66935
"2014-05-30",65127
"2014-05-31",52976
"2014-06-01",61179
"2014-06-02",64434
"2014-06-03",66435
"2014-06-04",66695
"2014-06-05",66945
"2014-06-06",53216
"2014-06-07",47730
"2014-06-08",48308
"2014-06-09",65460
"2014-06-10",61611
"2014-06-11",62827
"2014-06-12",65091
"2014-06-13",58961
"2014-06-14",53596
"2014-06-15",65347
"2014-06-16",67270
"2014-06-17",70077
"2014-06-18",62320
"2014-06-19",59884
"2014-06-20",57381
"2014-06-21",50429
"2014-06-22",56648
"2014-06-23",60216
"2014-06-24",63760
"2014-06-25",62354
"2014-06-26",61432
